id,name,kind,latitude,longitude,belong_to
4682,sao sebastiao do maranhao,city,-18.084,-42.571,168
4683,porciuncula,city,-20.963,-42.041,169
4684,livramento,city,-7.374,-36.946,158
4685,natividade da serra,city,-23.376,-45.442,170
4686,simplicio mendes,city,-7.854,-41.91,162
4687,gloria do goita,city,-8.002,-35.293,159
4688,piranguinho,city,-22.401,-45.532,168
4689,hidrolandia,city,-4.408,-40.438,156
4690,porto lucena,city,-27.856,-55.016,172
4691,itaituba,city,-4.276,-55.984,152
4692,alfredo chaves,city,-20.635,-40.75,167
4693,iguaracu,city,-23.197,-51.828,171
4694,dias d avila,city,-12.613,-38.297,155
4695,neustadt,city,49.35009,8.13886,38
4696,matutina,city,-19.223,-45.969,168
4697,senhora de oliveira,city,-20.794,-43.344,168
4698,nova mutum,city,-13.838,-56.084,165
4699,colombo,city,-25.292,-49.224,171
4700,alagoa nova,city,-7.071,-35.758,158
4701,santana do ipanema,city,-9.378,-37.245,154
4702,campo limpo paulista,city,-23.206,-46.784,170
4703,tapes,city,-30.673,-51.396,172
4704,ipaumirim,city,-6.79,-38.719,156
4705,herval d oeste,city,-27.194,-51.495,173
4706,jaci,city,-20.882,-49.57,170
4707,nova brescia,city,-29.214,-52.028,172
4708,marcelino vieira,city,-6.294,-38.167,160
4709,candeal,city,-11.808,-39.119,155
4710,oxford,city,51.75222,-1.25596,9
4711,balsas,city,-7.533,-46.036,157
4712,itapage,city,-3.687,-39.586,156
4713,camacan,city,-15.419,-39.496,155
4714,sao joao do paraiso,city,-15.314,-42.014,168
4715,belem do brejo do cruz,city,-6.189,-37.536,158
4716,itaguara,city,-20.392,-44.488,168
4717,itambe,city,-7.41,-35.113,159
4718,gramado,city,-29.379,-50.874,172
4719,barbosa,city,-21.267,-49.949,170
4720,alfredo marcondes,city,-21.955,-51.413,170
4721,portao,city,-29.702,-51.242,172
4722,popayan,city,2.43823,-76.61316,138
4723,forst,city,51.73544,14.63971,38
4724,guarani d oeste,city,-20.075,-50.339,170
4725,santana da ponte pensa,city,-20.253,-50.797,170
4726,itambe,city,-15.245,-40.624,155
4727,bremervorde,city,53.48458,9.14306,38
4728,candiba,city,-14.411,-42.867,155
4729,santa cruz de monte castelo,city,-22.953,-53.297,171
4730,eirunepe,city,-6.66,-69.874,151
4731,jeriquara,city,-20.311,-47.589,170
4732,turmalina,city,-20.052,-50.476,170
4733,caieiras,city,-23.364,-46.741,170
4734,toumodi,city,6.55799,-5.01769,86
4735,salto do lontra,city,-25.784,-53.309,171
4736,boa viagem,city,-5.128,-39.732,156
4737,tamboara,city,-23.2,-52.469,171
4738,passagem franca,city,-6.18,-43.784,157
4739,dom feliciano,city,-30.704,-52.108,172
4740,liberato salzano,city,-27.6,-53.073,172
4741,conceicao do araguaia,city,-8.258,-49.265,152
4742,lubango,city,-14.91717,13.4925,97
4743,clevelandia,city,-26.396,-52.471,171
4744,senhora dos remedios,city,-21.028,-43.583,168
4745,belo jardim,city,-8.336,-36.424,159
4746,miguel pereira,city,-22.454,-43.469,169
4747,chaves,city,-0.16,-49.988,152
4748,japoata,city,-10.347,-36.801,161
4749,manga,city,-14.756,-43.932,168
4750,italva,city,-21.421,-41.691,169
4751,barao de melgaco,city,-16.279,-55.958,165
4752,ipumirim,city,-27.077,-52.136,173
4753,ozd,city,48.21667,20.3,39
4754,novo acordo,city,-9.963,-47.677,153
4755,sao lourenco do oeste,city,-26.359,-52.851,173
4756,riolandia,city,-19.99,-49.681,170
4757,morada nova de minas,city,-18.604,-45.357,168
4758,rio branco do sul,city,-25.19,-49.314,171
4759,santo antonio do ica,city,-3.102,-67.94,151
4760,nova resende,city,-21.126,-46.42,168
4761,duisburg,city,51.43247,6.76516,38
4762,tacuarembo,city,-31.73333,-55.98333,139
4763,petrolandia,city,-27.535,-49.698,173
4764,pilar,city,-7.267,-35.26,158
4765,arabuta,city,-27.16,-52.142,173
4766,garopaba,city,-28.023,-48.613,173
4767,paulo lopes,city,-27.962,-48.684,173
4768,casca,city,-28.561,-51.978,172
4769,igarape miri,city,-1.975,-48.96,152
4770,apuiares,city,-3.949,-39.432,156
4771,carmo da cachoeira,city,-21.461,-45.224,168
4772,venda nova do imigrante,city,-20.34,-41.135,167
4773,monsenhor hipolito,city,-6.996,-41.03,162
4774,rio do campo,city,-26.949,-50.141,173
4775,apuarema,city,-13.856,-39.744,155
4776,elias fausto,city,-23.043,-47.374,170
4777,santo antonio,city,-6.311,-35.479,160
4778,guaimbe,city,-21.91,-49.897,170
4779,alenquer,city,-1.942,-54.738,152
4780,pedra lavrada,city,-6.757,-36.48,158
4781,santa barbara,city,-11.958,-38.975,155
4782,nova trento,city,-27.286,-48.93,173
4783,farias brito,city,-6.931,-39.566,156
4784,jequitiba,city,-19.236,-44.028,168
