Ranking;Nome da Universidade;sigla;UF;Pública/Privada;Ensino;Pesquisa;Mercado;Inovação;Internacionalização;Nota
22;Universidade Federal de Goiás;UFG;GO;Pública;27;23;16;33;49;82.08
23;Universidade Estadual de Maringá;UEM;PR;Pública;23;24;32;14;75;81.24
24;Universidade Estadual de Londrina;UEL;PR;Pública;17;34;32;30;56;80.9
25;Universidade Federal da Paraíba;UFPB;PB;Pública;26;26;43;29;62;79.03
26;Universidade Federal de Uberlândia;UFU;MG;Pública;29;27;43;17;60;78.79
27;Universidade Federal de Lavras;UFLA;MG;Pública;12;25;96;16;72;77.87
28;Universidade Federal de Juiz de Fora;UFJF;MG;Pública;25;28;71;21;44;76.32
29;Universidade Federal do Pará;UFPA;PA;Pública;44;32;43;20;34;75.89
30;Universidade Federal de Pelotas;UFPEL;RS;Pública;33;18;123;34;29;72.34
31;Universidade Federal do Espírito Santo;UFES;ES;Pública;66;35;22;48;35;71.95
32;Pontifícia Universidade Católica do Paraná;PUCPR;PR;Privada;50;53;16;35;45;71.78
33;Universidade Federal de Sergipe;UFS;SE;Pública;65;37;32;26;53;70.97
34;Universidade Federal de Ouro Preto;UFOP;MG;Pública;37;36;96;18;40;70.61
35;Universidade Presbiteriana Mackenzie;MACKENZIE;SP;Privada;32;73;3;51;65;70.39
36;Universidade Federal de Mato Grosso;UFMT;MT;Pública;45;41;52;95;83;68.82
37;Universidade Federal de Mato Grosso do Sul;UFMS;MS;Pública;41;55;52;44;99;68.74
38;Universidade Federal de Alagoas;UFAL;AL;Pública;69;43;43;42;33;68.03
39;Universidade Estadual do Ceará;UECE;CE;Pública;71;48;22;44;89;67.86
40;Fundação Universidade Federal do Abc;UFABC;SP;Pública;51;15;150;56;1;67.16
40;Universidade Federal do Amazonas;UFAM;AM;Pública;49;62;43;32;69;67.16
42;Pontifícia Universidade Católica de Minas Gerais;PUC MINAS;MG;Privada;36;78;5;83;106;67.09
43;Universidade do Vale do Rio dos Sinos;UNISINOS;RS;Privada;28;83;16;56;125;67.05
44;Universidade de Caxias do Sul;UCS;RS;Privada;68;60;43;19;39;66.02
45;Universidade Federal do Piauí;UFPI;PI;Pública;47;58;71;30;100;65.9
46;Universidade Federal de Campina Grande;UFCG;PB;Pública;39;46;96;74;109;64.69
47;Universidade Federal Rural do Rio de Janeiro;UFRRJ;RJ;Pública;37;40;123;67;79;64.26
48;Universidade Católica de Brasília;UCB;DF;Privada;97;45;52;44;21;63.37
49;Universidade Federal de Alfenas;UNIFAL-MG;MG;Pública;54;44;96;58;95;62.95
50;Universidade Estadual do Oeste do Paraná;UNIOESTE;PR;Pública;40;61;96;48;111;62.79
51;Universidade São Francisco;USF;SP;Privada;82;42;71;95;2;62.6
52;Universidade Federal de São João Del Rei;UFSJ;MG;Pública;56;39;123;58;30;62.25
53;Universidade Tecnológica Federal do Paraná;UTFPR;PR;Pública;42;75;71;36;110;62.11
54;Pontifícia Universidade Católica de São Paulo;PUCSP;SP;Privada;19;120;5;74;168;62.01
55;Universidade Federal do Rio Grande;FURG;RS;Pública;63;29;150;51;28;61.43
56;Universidade Federal do Maranhão;UFMA;MA;Pública;76;63;52;38;97;61.24
57;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;UFCSPA;RS;Pública;31;33;-;74;47;60.98
58;Universidade Federal Rural de Pernambuco;UFRPE;PE;Pública;64;38;123;44;96;60.87
59;Universidade Federal do Triângulo Mineiro;UFTM;MG;Pública;35;56;123;95;88;60.78
60;Universidade Estadual de Ponta Grossa;UEPG;PR;Pública;72;49;96;42;92;60.52
61;Universidade Estadual de Santa Cruz;UESC;BA;Pública;81;47;96;53;26;60.49
62;Universidade Federal de Itajubá;UNIFEI;MG;Pública;30;54;171;38;35;59.95
63;Universidade Nove de Julho;UNINOVE;SP;Privada;46;106;32;58;117;58.72
64;Universidade de Pernambuco;UPE;PE;Pública;85;68;32;-;83;58.08
65;Universidade do Vale do Itajaí;UNIVALI;SC;Privada;52;89;71;58;68;57.37
66;Universidade Luterana do Brasil;ULBRA;RS;Privada;103;71;43;74;82;55.98
67;Universidade Positivo;UP;PR;Privada;66;108;22;74;49;55.94
68;Fundação Universidade do Estado de Santa Catarina;UDESC;SC;Pública;73;66;71;-;128;55.86
69;Universidade Paulista;UNIP;SP;Privada;48;130;3;-;114;54.51
70;Universidade de Franca;UNIFRAN;SP;Privada;115;74;52;63;67;54.39
71;Universidade de Fortaleza;UNIFOR;CE;Privada;93;100;16;53;108;54.3
72;Fundação Universidade Federal do Pampa;UNIPAMPA;RS;Pública;57;64;150;83;26;53.56
73;Universidade Tiradentes;UNIT;SE;Privada;114;84;32;-;38;53.52
74;Universidade Estadual do Norte Fluminense Darcy Ribeiro;UENF;RJ;Pública;126;31;150;37;64;51.81
75;Universidade Metodista de São Paulo;UMESP;SP;Privada;43;133;52;83;69;51.8
76;Universidade Regional de Blumenau;FURB;SC;Pública;75;98;71;53;105;51.68
77;Universidade do Estado do Amazonas;UEA;AM;Pública;100;88;52;-;57;51.22
78;Universidade de Ribeirão Preto;UNAERP;SP;Privada;84;87;96;58;57;50.8
79;Universidade Estácio de Sá;UNESA;RJ;Privada;79;115;22;-;122;50.34
80;Pontifícia Universidade Católica de Campinas;PUC-CAMPINAS;SP;Privada;58;105;71;-;126;50.31
81;Universidade Cruzeiro do Sul;UNICSUL;SP;Privada;91;65;123;-;18;50.11
