sigla;people;DD;avgDD;D;avgD;avgDDbyP;Ano;CodIES;NomeIES;siglai;CategAdmin;OrgAcademica;UF;nAvTri;nCPC;alfa;graduacao;beta;mestrado;doutorado;igcc;igcf;Obs;rufpos;NomeUni;siglar;UFr;PubPri;ensino;pesquisa;mercado;inovacao;interna;rufnota
ufc;1874;10295862.267310409;5494.056706142161;8050;4;1336.2279632354416;2013;583;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;Pública;Universidade;CE;55;54;0.5910;3.0455;0.5650;4.2436;2.6926;3.6207;4;;13;Universidade Federal do Ceará;UFC;CE;Pública;21;11;11;27;5;87.76
ufba;2034;11030673.534167735;5423.143330465947;8755;4;1283.1192956266937;2013;578;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;Pública;Universidade;BA;50;49;0.5808;2.6714;0.5502;4.0498;2.5550;3.3842;4;;14;Universidade Federal da Bahia;UFBA;BA;Pública;20;17;11;14;16;87.27
ufsc;2778;15027608.449828386;5409.506281435704;11849;4;1310.6428092161427;2013;585;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;Pública;Universidade;SC;52;50;0.4623;3.3069;0.4928;4.5807;3.3882;4.0151;5;;7;Universidade Federal de Santa Catarina;UFSC;SC;Pública;6;10;22;8;12;91.79
uff;2641;9270527.9785649;3510.2339941555847;11449;4;844.8704665522135;2013;572;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;Pública;Universidade;RJ;66;65;0.6797;2.7088;0.5911;4.0533;2.8128;3.2576;4;;16;Universidade Federal Fluminense;UFF;RJ;Pública;18;22;22;24;23;85.9
uerj;2111;7793208.090302649;3691.7139224550683;9379;4;841.7262611881644;2013;547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;Pública;Universidade;RJ;47;47;0.6581;2.2888;0.5027;4.2438;3.1264;3.0445;4;;17;Universidade do Estado do Rio de Janeiro;UERJ;RJ;Pública;34;8;16;41;6;85.63
pucrs;958;5021800.299336094;5241.9627341712885;4252;4;1182.6695660075313;2013;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada;Universidade;RS;44;43;0.7343;3.1520;0.5238;4.7938;3.5056;3.5656;4;;18;Pontifícia Universidade Católica do Rio Grande do Sul;PUCRS;RS;Privada;24;19;16;12;25;84.87
ufv;1323;5791502.797332348;4377.553134793914;5613;4;1039.143462208356;2013;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública;Universidade;MG;43;41;0.4854;3.4797;0.4785;4.4190;3.6589;4.0706;5;;19;Universidade Federal de Viçosa;UFV;MG;Pública;9;20;52;8;63;84.51
ufrn;1893;9799909.05667013;5176.919734109947;8109;4;1246.896781953013;2013;570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;Pública;Universidade;RN;62;60;0.6778;3.3691;0.5610;3.9030;2.4555;3.6755;4;;21;Universidade Federal do Rio Grande do Norte;UFRN;RN;Pública;16;30;32;22;37;82.64
ufg;1846;6307851.927021402;3417.0378802932837;7950;4;803.01385570384;2013;584;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;Pública;Universidade;GO;79;78;0.6587;3.2463;0.6310;3.9007;2.5052;3.6217;4;;22;Universidade Federal de Goiás;UFG;GO;Pública;27;23;16;33;49;82.08
uem;1330;3773385.242973951;2837.1317616345495;5757;4;659.8440361266811;2013;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Pública;Universidade;PR;42;40;0.7201;3.0559;0.5281;4.5419;2.9163;3.4744;4;;23;Universidade Estadual de Maringá;UEM;PR;Pública;23;24;32;14;75;81.24
uel;1309;3789234.4792900058;2894.7551407868646;5725;4;642.959571849566;2013;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública;Universidade;PR;39;39;0.7012;3.3232;0.6084;3.9679;2.7709;3.6435;4;;24;Universidade Estadual de Londrina;UEL;PR;Pública;17;34;32;30;56;80.9
