Ano;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;UF da IES;Nr. de Cursos Avaliados no Triênio;Nr. de Cursos com CPC no Triênio;alfa(Proporção de Graduandos);Conceito médio da Graduação;beta(Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;Conceito Médio do doutorado;IGC (Contínuo);IGC (faixa);Obs:
2013;3164;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFMT;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MT;13;8;0.9827;2.9490;1.0000;3.0000;0.0000;2.9672;4;
2013;3165;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO;;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MG;10;8;0.9720;3.2379;1.0000;3.0000;0.0000;3.2592;4;
2013;3172;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA;Pública;Universidade;AM;40;40;0.9470;2.4720;0.8241;3.4529;3.0000;2.5660;3;
2013;3183;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE SERGIPE;IFS;Pública;Instituto Federal de Educação. Ciência e Tecnologia;SE;4;4;1.0000;2.2759;0.0000;0.0000;0.0000;2.2759;3;
2013;3184;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE RORAIMA;IFRR;Pública;Instituto Federal de Educação. Ciência e Tecnologia;RR;5;4;1.0000;2.6778;0.0000;0.0000;0.0000;2.6778;3;
2013;3188;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;IFNMG;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MG;7;6;1.0000;2.6368;0.0000;0.0000;0.0000;2.6368;3;
2013;3189;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE MINAS GERAIS;IFMG;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MG;12;10;1.0000;2.9774;0.0000;0.0000;0.0000;2.9774;4;
2013;3279;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;IFSEMG;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MG;7;5;1.0000;2.9229;0.0000;0.0000;0.0000;2.9229;3;
2013;3336;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS;Pública;Universidade;RS;12;8;1.0000;3.3544;0.0000;0.0000;0.0000;3.3544;4;
2013;3849;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT;Pública;Universidade;TO;33;33;0.9271;2.8265;0.8561;3.4557;2.0000;2.9262;3;
2013;3974;UNIVERSIDADE DE RIO VERDE;FESURV;Pública;Universidade;GO;24;20;1.0000;2.0487;0.0000;0.0000;0.0000;2.0487;3;
2013;3984;FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;Pública;Universidade;PE;15;14;0.9542;2.9805;1.0000;3.0000;0.0000;3.0272;4;
2013;4098;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA FARROUPILHA;IFFarroupilha;Pública;Instituto Federal de Educação. Ciência e Tecnologia;RS;4;2;1.0000;2.8102;0.0000;0.0000;0.0000;2.8102;3;
2013;4358;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;IF SUL DE MINAS;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MG;6;5;1.0000;3.2510;0.0000;0.0000;0.0000;3.2510;4;
2013;4503;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública;Universidade;BA;13;12;0.8271;2.8661;0.7376;3.3261;2.8226;3.0953;4;
2013;4504;FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;Pública;Universidade;MS;16;16;0.6877;3.1309;0.7794;3.7348;2.4923;3.5031;4;
2013;4785;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFRO;Pública;Instituto Federal de Educação. Ciência e Tecnologia;RO;2;1;1.0000;2.6073;0.0000;0.0000;0.0000;2.6073;3;
2013;4786;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO TOCANTINS;IFTO;Pública;Instituto Federal de Educação. Ciência e Tecnologia;TO;2;1;1.0000;3.0398;0.0000;0.0000;0.0000;3.0398;4;
2013;4925;FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC;UFABC;Pública;Universidade;SP;13;13;0.2555;4.1651;0.7277;3.6022;1.9224;4.2001;5;
